rank,name,country,total_assets_bn,balance_sheet,address
81,DBS Group Holdings,Singapore,317.296,12.31.2013,"6 Shenton Way, DBS Building Tower One, Singapore, 068809, Singapore"
98,Oversea-Chinese Banking Corporation (OCBC),Singapore,267.13,12.31.2013,"65 Chulia St., #26-00 OCBC Centre, 049513 Singapore"
104,United Overseas Bank (UOB),Singapore,224.336,12.31.2013,"0 Raffles Place Singapore, 048624 Singapore"
9,Bank of China,China,"2,292.59",12.31.2013,"No. 1, Fuxingmennei Dajie, Xicheng District Beijing, 100818 China"
23,China Development Bank,China,"1,352.99",12.31.2013,"No. 18 Fuxingmennei Street, Xicheng District, Beijing,  100031, China"
84,The Export-Import Bank of China,China,311.456,12.31.2013,"No 30, FuXingMenNei Street, XiCheng District, Beijing, 100031, China"
75,Caixa Economica Federal,Brazil,363.667,12.31.2013,"SBS s/n Qd. 4 Lts., 3/4 Ed. Sede, Asa Sul, Brasília, D.F., 70092-900, Brazil"
17,Royal Bank of Scotland Group,UK,"1,695.50",12.31.2013,"RBS Gogarburn PO Box 1000 Edinburgh, EH12 1HQ United Kingdom"
40,Commerzbank AG,Germany,759.085,12.31.2013,"Commerzbank AG, Kaiserplatz, 60261 Frankfurt am Main, Germany"
46,KfW Group,Germany,641.891,12.31.2013,KfW IPEX-Bank GmbH Zeppelinallee 8 60325 frankfurt am Main germany
50,Industrial Bank Co. Ltd,China,607.66,12.31.2013,"Industrial Bank Co Ltd, No. 154, Hudong Road, Gulou District, FUZHOU350003, China"
102,China Guangfa Bank (CGB),China,242.878,12.31.2013,"No. 713, Dongfengdong Road, Yuexiu District, Guangzhou,  510080, China"
59,La Caixa Group,Spain,485.105,12.31.2013,"Avenida Diagonal, 621, 08028 Barcelona"
77,Bayerische Landesbank,Germany,352.986,12.31.2013,"Brienner Strasse 18, Munich,  80333, Germany"
103,Banco Sabadell,Spain,225.714,12.31.2013,"Pl. Sant Roc, 20, 08201 Sabadell"
49,Shanghai Pudong Development Bank,China,608.104,12.31.2013,"No. 12, Zhongshan Dong Yi Road, SHANGHAI, SHA 200002, China"
96,Banca Monte dei Paschi di Siena S.p.A.,Italy,274.967,12.31.2013,"Banca Monte dei Paschi di Siena S.p.A., Piazza Salimbeni, 3, 53100 Siena, Italy "
67,Svenska Handelsbanken,Sweden,388.365,12.31.2013,"Kungsträdgårdsgatan 2, Stockholm, Stockholm, 111 47 Sweden"
82,Nationwide Building Society,UK,314.592,12.31.2013,"Pipers Way Swindon, Wilts SN381NW United Kingdom"
43,Commonwealth Bank of Australia,Australia,697.798,12.31.2013,"Commonwealth Bank of Australia, Ground Floor, Tower 1, 201 Sussex Street, SYDNEY NSW 2000 "
36,Norinchukin Bank,Japan,823.983,12.31.2013,"13-2 Yurakucho 1-chome, Chiyoda-ku, Tokyo,  100-8420, Japan"
63,Resona Holdings,Japan,426.167,12.31.2013,"13-2 Yurakucho 1-chome, Chiyoda-ku, Tokyo,  100-8420, Japan"
64,Nomura Holdings,Japan,415.827,12.31.2013,"1-9-1 Nihonbashi, Chuo-ku, Tokyo 103-8645, Japan"
95,Erste Group Bank AG,Austria,276.03,12.31.2013,"Graben 21 Vienna, 1010 Austria"
93,KB Financial Group,South Korea,276.808,12.31.2013,"#9-1 Namdaemunro 2-ga, Seoul, Seoul, 100-092, South Korea"
