id,original,name,location,address
1,"Academy of Art University - San Francisco, California",Academy of Art University,"San Francisco, California","Academy of Art University - School of Fashion, 180 New Montgomery Street, San Francisco, CA 94105, USA",
2,"Allied American University - Laguna Hills, California",Allied American University,"Laguna Hills, California","Allied American University, 22952 Alcalde Drive, Laguna Hills, CA 92653, USA",
3,"American Career College - Los Angeles, California",American Career College,"Los Angeles, California","American Career College, 4021 Rosewood Avenue, Los Angeles, CA 90004, USA",
4,American College of Education - Illinois,American College of Education,Illinois,"American College of Education COLLEGE, 20 North Upper Wacker Drive, Chicago, IL 60606, USA",
5,"American InterContinental University - multiple locations, a subsidiary of Career Education Corporation",American InterContinental University,"multiple locations, a subsidiary of Career Education Corporation","American InterContinental University, 2250 North Commerce Parkway, Weston, FL 33326, USA",
6,American Military University - Online,American Military University,Online,"American Military University, 10110 Battleview Parkway, Manassas, VA 20109, USA",
7,American Public University - Online,American Public University,Online,"American Public University, 119 East Washington Street, Charles Town, WV 25414, USA",
8,American Sentinel University - Online,American Sentinel University,Online,"American Sentinel University, 2260 South Xanadu Way # 310, Aurora, CO 80014, USA",
9,Antonelli College - multiple locations,Antonelli College,multiple locations,"Antonelli College - Jackson, MS, 2323 Lakeland Drive, Jackson, MS 39232, USA",
10,"Argosy University - multiple locations, a subsidiary of Education Management Corporation",Argosy University,"multiple locations, a subsidiary of Education Management Corporation","Argosy University Inland Empire, 3401 Centre Lake Drive Suite 200, Ontario, CA 91761, USA",
12,"Ashford University - Clinton, Iowa, a subsidiary of Bridgepoint Education, includes Forbes School of Business",Ashford University,"Clinton, Iowa, a subsidiary of Bridgepoint Education, includes Forbes School of Business","Ashford University Clinton Campus, Clinton, IA 52732, USA",
13,"Blair College - Colorado Springs, Colorado",Blair College,"Colorado Springs, Colorado","Blair College, 1815 Jet Wing Drive, Colorado Springs, CO 80916, USA",
14,Brooks Institute of Photography - multiple locations,Brooks Institute of Photography,multiple locations,"Brooks Institute, 27 E East Cota Street, Santa Barbara, CA 93101, USA",
15,"Brown College - Mendota Heights, Minnesota; ",Brown College,"Mendota Heights, Minnesota;","Sanford-Brown College - Mendota Heights, 1345 Mendota Heights Road, Mendota Heights, MN 55120, USA",
