capacity,city,facility_address1,facility_address2,facility_name,gps,latitude,longitude,owner_addr,owner_addr2,owner_city,owner_if_private,owner_phone,owner_state,owner_zip,phone_number,security,serialid,state,type,zip
,Columbiana,102 Industrial Parkway,P.O. Box 1970,ATEF,,,,35 Fairfield Place,,West Caldwell,"Community Education Centers, Inc. (CEC)",(973) 226-2900,NJ,07006,(205) 669-1187,,16,Alabama,Contract Facility,35051
,Uniontown,4805 Hwy 80 East,,Perry County Detention Facility,,,,100-D William O. Stutes Str.,,Lafayette,"LCS Corrections Service, Inc.",(337) 234-1533,LA,70506,(334) 628-8885,,17,Alabama,Contract Facility,36786
,Phoenix,3402 West Cocopah,,ASP - Phoenix West,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(602) 352-0350,,54,Arizona,Contract Facility,85009
,Marana,12610 W. Silverbell Rd,,Marana CCTF,,,,500 N. Market Place Drive,P.O. Box 10,Centerville,Management and Training Corporation,(801) 693-2600,Utah,84014,(520) 682-2077,,55,Arizona,Contract Facility,85653
,Florence,1401 East Diversion Dam Road,,Central ArizonaCorrectional Facility,,,,One Park Place,"621 NW 53rd Street, Suite 700",Boca Raton,"The GEO Group, Inc.",(866) 301-4436,Florida,33487,(520) 868-4809,,58,Arizona,Contract Facility,85132
"1,500",Eloy,1705 East Hanna Road,,Eloy Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 466-4141,medium,59,Arizona,Contract Facility,85131
"1,824",Florence,1100 Bowling Road,,Florence Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 868-9095,multi-level,60,Arizona,Contract Facility,85132
"2,304",Florence,1155 North Pinal Parkway,,Central Arizona Detention Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 868-3668,multi-level,61,Arizona,Contract Facility,85132
"3,060",Eloy,5501 North La Palma Road,,La Palma Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 464-3200,medium,62,Arizona,Contract Facility,85131
"1,900",Eloy,1250 East Arica Road,,Saguaro Correctional Center,,,,10 Burton Hills Boulevard,,Nashville,Corrections Corporation of America,(615) 263-3000,TN,37215,(520) 464-0500,medium,63,Arizona,Contract Facility,85131
